,0,lat,long
98,Selkirk Ave & Keewatin St,49.931218,-97.19520899999999
99,Ravelston Ave W & Peguis St,49.9047142,-97.0473572
100,Rougeau Ave & Balaban Pl,49.892702,-97.053901
101,Rougeau Ave & Regent Ave W,49.89629,-97.057919
102,St Mary's Rd & Craddock Ave,49.8324094,-97.11457399999999
103,Poseidon Bay & Taylor Ave,49.85198099999999,-97.172741
104,Springfield Rd & Spring Valley Rd,49.931085,-97.046387
105,PTH 8 & Ramp PTH 8 NB to PTH 101 EB,49.9861033,-97.1070993
106,Kenaston Blvd & Rothwell Rd,49.8322346,-97.2095446
107,Eagle Dr & Oak Point Hwy,49.93720260000001,-97.22419939999999
108,Guelph St & Taylor Ave,49.85652899999999,-97.157462
109,Spring Meadow Cres & Spring Meadow Cres,49.9111931,-97.02386349999999
110,Mission St & Provencher Blvd,49.89787099999999,-97.09908399999999
111,Garden Park Dr & Templeton Ave,49.9549821,-97.1380066
112,St Mary's Rd & Crystal Ave,49.8553523,-97.11197109999999
113,Graham Ave & Main St,49.8934068,-97.1372289
114,Bison Dr & Shore St,49.8018528,-97.1655392
115,Wilton St & Wilton Bay,49.8565479,-97.16019399999999
116,Broadway & Portage Ave,49.8867825,-97.1648544
117,Valour Rd & Riddle Ave,49.8840465,-97.1890502
118,River Rd & River Pointe Dr,49.82035740000001,-97.1365639
119,West Perimeter Bridge & PTH 100,49.8688268,-97.3255994
120,Wilkes Ave & Ramp Wilkes to/from PTH 100 NB,49.8389507,-97.32288299999999
121,Waverley St & Wilkes Ave,49.846805,-97.1794948
122,Stadacona St & Poplar Ave,49.9092712,-97.1086998
123,Munroe Ave & Henderson Hwy,49.921588,-97.109529
124,PR 427 & Wilkes Ave,49.8468173,-97.1815274
125,Jubilee Ave & Osborne St,49.85965729999999,-97.13012409999999
126,Parasiuk Pl & Williamson Cres,49.9211944,-97.0466558
127,Dublin Ave & St James St,49.911451,-97.199232
128,Henderson Hwy & Trent Ave,49.923222,-97.108233
129,Munroe Ave & Raleigh St,49.914998,-97.08966199999999
130,Marion St & Enfield Cres,49.8818504,-97.1120141
131,Concordia Ave & Molson St,49.911761,-97.0628101
132,Saskatchewan Ave & St James St,49.90626779999999,-97.1996181
133,Saskatchewan Ave & Midland St,49.9071805,-97.18985169999999
134,Empress St & Wellington Ave,49.9010981,-97.1951181
135,Goulet St & Enfield Cres,49.882754,-97.11256979999999
136,Ellice Ave & Hargrave St,49.8947607,-97.1455684
137,Stradbrook Ave & Scott St,49.87903790000001,-97.1410757
138,Dugald Rd & Plessis Rd,49.88609169999999,-97.0261388
139,River Ave & Scott St,49.8805862,-97.1421737
140,Westminster Ave & Langside St,49.8817027,-97.1567448
141,Balmoral St & Quappelle Ave,49.8946925,-97.1524484
142,Colony St & Webb Pl,49.89274229999999,-97.15178309999999
143,McGillivray Blvd & Pembina Hwy,49.8415286,-97.1535873
144,Notre Dame Ave & Valour Rd,49.91008619999999,-97.1861444
145,Ellice Ave & Smith St,49.8953316,-97.1429316
146,Albany St & Silver Ave,49.8881835,-97.22482300000001
147,Amherst St & Silver Ave,49.8880428,-97.2215839
148,Kenaston Blvd & Grant Ave,49.8572833,-97.20653940000001
149,Lindenwood Dr W & Lindenwood Dr E,49.8274735,-97.19759379999999
150,Ness Ave & Mount Royal Rd,49.8851562,-97.2447882
151,Mollard Rd & Ritchie St,49.9754994,-97.1839064
152,Clarence Ave & Hamelin St,49.8304991,-97.168674
153,Waverley St & PTH 100,49.8160495,-97.1800384
154,Roseberry St & St Matthews Ave,49.8910083,-97.2153122
155,Corydon Ave & Lockwood St,49.8640964,-97.2030207
156,Ellice Ave & St James St,49.8942194,-97.2005922
157,Ellice Ave & Vaughan St,49.8935435,-97.1507693
158,Logan Ave & Weston St,49.9166442,-97.1797673
159,Portage Ave & Sackville St,49.8784942,-97.223601
160,Marjorie St & St Matthews Ave,49.890812,-97.2129051
161,Grant Ave & Roblin Blvd,49.8585995,-97.2776002
162,Roblin Blvd & Grant Ave,49.8585995,-97.2776002
163,Goulet St & Youville St,49.8829848,-97.1079695
164,Marion St & Youville St,49.8826553,-97.10792359999999
165,Marion St & Panet Rd,49.88191399999999,-97.08345600000001
166,Munroe Ave & Grey St,49.91347829999999,-97.0850015
167,Munroe Ave & Panet Rd,49.9072188,-97.0662261
168,St Mary's Rd & Worthington Ave,49.83721389999999,-97.1124123
169,Osborne St & Rosedale Ave,49.8606369,-97.130748
170,St Mary's Rd & Tache Ave,49.8773145,-97.1230582
171,Provencher Bridge & Israel Asper Way,49.89209779999999,-97.1321976
172,North Perimeter Bridge & Ramp PTH 101 WB to PTH 9 NB,49.80335030000001,-97.0827045
173,Archibald St & Fermor Ave,49.8565254,-97.0880646
174,Gamble Pl & Clarence Ave,49.8271177,-97.1790845
175,Kenaston Blvd & Lockston Ave,49.8661979,-97.20570529999999
176,Levis St & Talbot Ave,49.9081386,-97.1117998
177,Logan Ave & Yeomans St,49.9145042,-97.173063
178,McLeod Ave & Louelda St,49.9254279,-97.059119
179,Kildonan Settlers Bridge & Chief Peguis Trail,49.9510982,-97.0993481
180,Portage Ave & Riveroaks Dr,49.8786891,-97.214035
181,Knowles Ave & Raleigh St,49.9496876,-97.04574009999999
182,Munroe Ave & Marsden St,49.91152599999999,-97.07918839999999
183,Salter St & Luxton Ave W,49.9285994,-97.1305763
184,Main St & Broadway,49.8888215,-97.13472159999999
185,McGregor St & Polson Ave,49.930656,-97.13839499999999
186,Kenaston Blvd & Willow Ave,49.871823,-97.20518899999999
187,Mountain Ave & McKenzie St,49.9248959,-97.145974
188,McIvor Ave & Kayhans Dr,49.9534216,-97.07434359999999
189,De Vries Ave & Headmaster Row,49.9436393,-97.0351202
190,Munroe Ave & Molson St,49.9086505,-97.0704773
191,Knowles Ave & Rothesay St,49.9567805,-97.06160609999999
192,Munroe Ave & Watt St,49.9177172,-97.0978787
193,Pembina Hwy & Turnbull Dr,49.7541157,-97.1450955
194,Knowles Ave & Henderson Hwy,49.959866,-97.068608
195,Pembina Hwy & Manahan Ave,49.8309121,-97.1514382
196,Shaftesbury Blvd & Mountbatten Ave,49.86168379999999,-97.2299846
197,Bonner Ave & Rothesay St,49.9542846,-97.0642829
198,Midtown Bridge & Smith St,49.8849003,-97.1385786
199,Provencher Blvd & La Fleche St,49.89570399999999,-97.107767
200,St Anne's Rd & Frobisher Rd,49.8078972,-97.07072409999999
201,Louise Bridge & Higgins Ave,49.9053851,-97.11381809999999
202,PTH 101 & Saskatchewan Ave,49.9057431,-97.20642989999999
203,Main Street Bridge & Fort Gibraltar Trail,49.8863814,-97.1331981
204,St Mary's Rd & Redview Dr,49.80031229999999,-97.1157392
205,University Cres & Dysart Rd,49.8098159,-97.14185800000001
206,University Cres & Wedgewood Dr,49.81712650000001,-97.1492574
